GTEX-11TTK,GTEX-11TTK-0002-SM-58Q8B
GTEX-12WSG,GTEX-12WSG-0001-SM-5ANGG
GTEX-131XW,GTEX-131XW-0002-SM-5GYA5
GTEX-11ZTS,GTEX-11ZTS-0001-SM-58Q8K
GTEX-1117F,GTEX-1117F-0003-SM-58Q7G
GTEX-13CF3,GTEX-13CF3-0004-SM-5JVC6
GTEX-11EM3,GTEX-11EM3-0004-SM-58Q9C
GTEX-1122O,GTEX-1122O-0004-SM-58Q7O
GTEX-132AR,GTEX-132AR-0002-SM-5DU51
GTEX-11P81,GTEX-11P81-0002-SM-58Q88
GTEX-13X6K,GTEX-13X6K-0003-SM-5DU4M
GTEX-13FH7,GTEX-13FH7-0004-SM-5DU3O
GTEX-1GN1U,GTEX-1GN1U-0002-SM-7MD51
GTEX-1A3MW,GTEX-1A3MW-0004-SM-7MD4N
GTEX-16MT8,GTEX-16MT8-0002-SM-6RBLH
GTEX-113JC,GTEX-113JC-0001-SM-58Q7M
GTEX-1211K,GTEX-1211K-0003-SM-58Q98
GTEX-11XUK,GTEX-11XUK-0003-SM-58Q8M
GTEX-1269C,GTEX-1269C-2026-SM-DK2JN
GTEX-1313W,GTEX-1313W-0004-SM-5DU5K
GTEX-13JUV,GTEX-13JUV-0001-SM-5DU62
GTEX-131XG,GTEX-131XG-0003-SM-5DU5J
GTEX-12ZZX,GTEX-12ZZX-0001-SM-5ANG4
GTEX-1F48J,GTEX-1F48J-0003-SM-7MA75
GTEX-131YS,GTEX-131YS-0003-SM-5DU4F
GTEX-12WSD,GTEX-12WSD-0002-SM-5ANGA
GTEX-11ZTT,GTEX-11ZTT-0003-SM-58Q8I
GTEX-1A8FM,GTEX-1A8FM-0004-SM-7MD4G
GTEX-11GSP,GTEX-11GSP-0004-SM-58Q83
GTEX-11VI4,GTEX-11VI4-0003-SM-58Q81
GTEX-12WSK,GTEX-12WSK-0003-SM-5ANG3
GTEX-12WSJ,GTEX-12WSJ-0003-SM-5ANG5
GTEX-13O3O,GTEX-13O3O-0003-SM-5CV8I
GTEX-13OVJ,GTEX-13OVJ-0001-SM-5GYAL
GTEX-13QIC,GTEX-13QIC-0004-SM-5DU5F
GTEX-13OVI,GTEX-13OVI-0003-SM-5GY9X
GTEX-11DXX,GTEX-11DXX-0004-SM-58Q7I
GTEX-11EMC,GTEX-11EMC-0004-SM-58Q8T
GTEX-1399S,GTEX-1399S-2226-SM-DKTR7
GTEX-13N11,GTEX-13N11-0003-SM-5JVB5
GTEX-11I78,GTEX-11I78-0002-SM-58Q8G
GTEX-13113,GTEX-13113-0003-SM-5ANGI
GTEX-11ZVC,GTEX-11ZVC-0004-SM-58Q8O
GTEX-1128S,GTEX-1128S-0001-SM-58Q96
GTEX-15DYW,GTEX-15DYW-0002-SM-6RBJG
GTEX-13SLX,GTEX-13SLX-0003-SM-5DU5R
